Order_ID;Order Date;Order_YearQuarter;Order_YearMonth;Retailer_ID;Product_SKU;Product_Price;Product_Cost;Order_Quantity;Sales_Amount;Cost_of_Goods_Sold;Profit;Profit_Margin
52;06/01/2020;2020Q1;202001;68;MH04-XL-Green;£24,00;£14,08;3;£72,00;£42,24; £29,76 ;41%
53;06/01/2020;2020Q1;202001;117;MH04-XL-White;£43,00;£14,51;16;£688,00;£232,16; £455,84 ;66%
54;06/01/2020;2020Q1;202001;105;MH04-XL-Yellow;£32,00;£13,22;23;£736,00;£304,06; £431,94 ;59%
55;07/01/2020;2020Q1;202001;291;MH04-XS-Green;£26,00;£13,34;1;£26,00;£13,34; £12,66 ;49%
56;07/01/2020;2020Q1;202001;606;MH04-XS-White;£43,00;£16,50;24;£1032,00;£396,00; £636,00 ;62%
57;07/01/2020;2020Q1;202001;136;MH04-XS-Yellow;£31,00;£13,36;43;£1333,00;£574,48; £758,52 ;57%
58;07/01/2020;2020Q1;202001;549;MH05-S-Blue;£33,00;£16,01;39;£1287,00;£624,39; £662,61 ;51%
59;07/01/2020;2020Q1;202001;433;MH05-L-Green;£28,00;£18,23;11;£308,00;£200,53; £107,47 ;35%
60;07/01/2020;2020Q1;202001;452;MH05-L-Red;£22,00;£9,69;9;£198,00;£87,21; £110,79 ;56%
61;07/01/2020;2020Q1;202001;53;MH05-L-White;£21,00;£10,92;47;£987,00;£513,24; £473,76 ;48%
62;07/01/2020;2020Q1;202001;422;MH05-M-Green;£35,00;£12,81;44;£1540,00;£563,64; £976,36 ;63%
63;08/01/2020;2020Q1;202001;152;MH05-M-Red;£20,00;£11,75;30;£600,00;£352,50; £247,50 ;41%
64;08/01/2020;2020Q1;202001;559;MH05-M-White;£42,00;£15,43;34;£1428,00;£524,62; £903,38 ;63%
65;08/01/2020;2020Q1;202001;689;MH05-S-Green;£39,00;£11,82;32;£1248,00;£378,24; £869,76 ;70%
66;08/01/2020;2020Q1;202001;62;MH05-S-Red;£27,00;£11,90;3;£81,00;£35,70; £45,30 ;56%
67;08/01/2020;2020Q1;202001;67;MH05-S-White;£34,00;£21,09;16;£544,00;£337,44; £206,56 ;38%
68;08/01/2020;2020Q1;202001;560;MH05-XL-Green;£28,00;£9,04;31;£868,00;£280,24; £587,76 ;68%
69;08/01/2020;2020Q1;202001;306;MH05-XL-Red;£33,00;£14,15;48;£1584,00;£679,20; £904,80 ;57%
70;08/01/2020;2020Q1;202001;122;MH05-XL-White;£21,00;£9,42;35;£735,00;£329,70; £405,30 ;55%
71;08/01/2020;2020Q1;202001;716;MH05-XS-Green;£26,00;£13,78;24;£624,00;£330,72; £293,28 ;47%
72;08/01/2020;2020Q1;202001;367;MH05-XS-Red;£22,00;£18,63;43;£946,00;£801,09; £144,91 ;15%
73;08/01/2020;2020Q1;202001;9;MH05-XS-White;£25,00;£12,89;19;£475,00;£244,91; £230,09 ;48%
74;08/01/2020;2020Q1;202001;395;MH06-S-Red;£25,00;£14,92;49;£1225,00;£731,08; £493,92 ;40%
75;09/01/2020;2020Q1;202001;768;MH06-L-Black;£39,00;£14,04;18;£702,00;£252,72; £449,28 ;64%
76;09/01/2020;2020Q1;202001;207;MH06-L-Blue;£28,00;£13,42;20;£560,00;£268,40; £291,60 ;52%
77;09/01/2020;2020Q1;202001;191;MH06-L-Purple;£27,00;£16,20;31;£837,00;£502,20; £334,80 ;40%
78;09/01/2020;2020Q1;202001;724;MH06-M-Black;£28,00;£13,52;19;£532,00;£256,88; £275,12 ;52%
79;09/01/2020;2020Q1;202001;722;MH06-M-Blue;£38,00;£20,80;29;£1102,00;£603,20; £498,80 ;45%
80;09/01/2020;2020Q1;202001;546;MH06-M-Purple;£38,00;£17,86;44;£1672,00;£785,84; £886,16 ;53%
81;09/01/2020;2020Q1;202001;41;MH06-S-Black;£26,00;£14,20;18;£468,00;£255,60; £212,40 ;45%
82;10/01/2020;2020Q1;202001;658;MH06-S-Blue;£43,00;£15,31;40;£1720,00;£612,40; £1107,60 ;64%
83;10/01/2020;2020Q1;202001;154;MH06-S-Purple;£25,00;£14,05;44;£1100,00;£618,20; £481,80 ;44%
84;10/01/2020;2020Q1;202001;475;MH06-XL-Black;£21,00;£12,09;33;£693,00;£398,97; £294,03 ;42%
85;10/01/2020;2020Q1;202001;713;MH06-XL-Blue;£42,00;£20,96;10;£420,00;£209,60; £210,40 ;50%
86;10/01/2020;2020Q1;202001;382;MH06-XL-Purple;£23,00;£14,46;12;£276,00;£173,52; £102,48 ;37%
87;10/01/2020;2020Q1;202001;448;MH06-XS-Black;£43,00;£15,05;27;£1161,00;£406,35; £754,65 ;65%
88;10/01/2020;2020Q1;202001;772;MH02-XS-Red;£25,00;£10,43;45;£1125,00;£469,35; £655,65 ;58%
89;10/01/2020;2020Q1;202001;242;MH06-XS-Blue;£44,00;£17,95;28;£1232,00;£502,60; £729,40 ;59%
90;11/01/2020;2020Q1;202001;25;MH06-XS-Purple;£44,00;£17,91;50;£2200,00;£895,50; £1304,50 ;59%
91;11/01/2020;2020Q1;202001;426;MH07-S-White;£40,00;£11,73;3;£120,00;£35,19; £84,81 ;71%
92;11/01/2020;2020Q1;202001;620;MH07-L-Black;£25,00;£16,00;13;£325,00;£208,00; £117,00 ;36%
93;11/01/2020;2020Q1;202001;634;MH07-L-Gray;£39,00;£19,89;17;£663,00;£338,13; £324,87 ;49%
94;12/01/2020;2020Q1;202001;121;MH07-L-Green;£27,00;£9,78;23;£621,00;£224,94; £396,06 ;64%
95;12/01/2020;2020Q1;202001;768;MH07-M-Black;£38,00;£14,68;21;£798,00;£308,28; £489,72 ;61%
96;12/01/2020;2020Q1;202001;415;MH07-M-Gray;£42,00;£16,39;3;£126,00;£49,17; £76,83 ;61%
97;12/01/2020;2020Q1;202001;654;MH06-M-Black;£24,00;£13,52;29;£696,00;£392,08; £303,92 ;44%
98;12/01/2020;2020Q1;202001;699;MH07-M-Green;£32,00;£20,03;8;£256,00;£160,24; £95,76 ;37%
99;12/01/2020;2020Q1;202001;367;MH05-L-Green;£33,00;£18,23;23;£759,00;£419,29; £339,71 ;45%
100;12/01/2020;2020Q1;202001;260;MH06-XL-Black;£33,00;£12,09;36;£1188,00;£435,24; £752,76 ;63%
101;12/01/2020;2020Q1;202001;428;MH07-S-Black;£42,00;£13,71;14;£588,00;£191,94; £396,06 ;67%
102;12/01/2020;2020Q1;202001;345;MH03-M-Black;£27,00;£16,16;27;£729,00;£436,32; £292,68 ;40%
103;12/01/2020;2020Q1;202001;711;MH07-S-Gray;£38,00;£16,33;27;£1026,00;£440,91; £585,09 ;57%
104;12/01/2020;2020Q1;202001;772;MH07-S-Green;£21,00;£14,41;14;£294,00;£201,74; £92,26 ;31%
105;12/01/2020;2020Q1;202001;27;MH07-XL-Black;£37,00;£17,70;13;£481,00;£230,10; £250,90 ;52%
106;13/01/2020;2020Q1;202001;302;MH07-XL-Gray;£24,00;£17,38;9;£216,00;£156,42; £59,58 ;28%
107;13/01/2020;2020Q1;202001;485;MH07-XL-Green;£35,00;£11,46;41;£1435,00;£469,86; £965,14 ;67%
108;13/01/2020;2020Q1;202001;92;MH07-XS-Black;£32,00;£15,36;47;£1504,00;£721,92; £782,08 ;52%
109;13/01/2020;2020Q1;202001;257;MH07-XS-Gray;£35,00;£14,70;7;£245,00;£102,90; £142,10 ;58%
110;13/01/2020;2020Q1;202001;84;MH07-XS-Green;£20,00;£16,40;48;£960,00;£787,20; £172,80 ;18%
111;13/01/2020;2020Q1;202001;522;MH08-S-Pink;£45,00;£18,58;25;£1125,00;£464,50; £660,50 ;59%
112;14/01/2020;2020Q1;202001;416;MH07-S-Black;£30,00;£13,71;25;£750,00;£342,75; £407,25 ;54%
113;14/01/2020;2020Q1;202001;154;MH08-L-Brown;£37,00;£20,27;6;£222,00;£121,62; £100,38 ;45%
114;14/01/2020;2020Q1;202001;754;MH08-L-Purple;£21,00;£12,38;46;£966,00;£569,48; £396,52 ;41%
115;14/01/2020;2020Q1;202001;43;MH08-L-Red;£29,00;£8,18;41;£1189,00;£335,38; £853,62 ;72%
116;14/01/2020;2020Q1;202001;392;MH04-S-Yellow;£34,00;£18,22;30;£1020,00;£546,60; £473,40 ;46%
117;14/01/2020;2020Q1;202001;710;MH08-M-Brown;£30,00;£12,67;37;£1110,00;£468,79; £641,21 ;58%
118;14/01/2020;2020Q1;202001;465;MH08-M-Purple;£39,00;£15,06;35;£1365,00;£527,10; £837,90 ;61%
119;14/01/2020;2020Q1;202001;176;MH08-M-Red;£39,00;£11,90;2;£78,00;£23,80; £54,20 ;69%
120;14/01/2020;2020Q1;202001;736;MH08-S-Brown;£39,00;£18,93;20;£780,00;£378,60; £401,40 ;51%
121;14/01/2020;2020Q1;202001;11;MH08-S-Purple;£39,00;£13,74;36;£1404,00;£494,64; £909,36 ;65%
122;15/01/2020;2020Q1;202001;565;MH08-S-Red;£33,00;£12,71;11;£363,00;£139,81; £223,19 ;61%
123;15/01/2020;2020Q1;202001;693;MH08-XL-Brown;£29,00;£17,70;3;£87,00;£53,10; £33,90 ;39%
124;15/01/2020;2020Q1;202001;304;MH08-XL-Purple;£36,00;£7,92;13;£468,00;£102,96; £365,04 ;78%
125;15/01/2020;2020Q1;202001;197;MH08-XL-Red;£30,00;£19,20;18;£540,00;£345,60; £194,40 ;36%
126;15/01/2020;2020Q1;202001;642;MH08-XS-Brown;£26,00;£13,34;39;£1014,00;£520,26; £493,74 ;49%
127;15/01/2020;2020Q1;202001;730;MH08-XS-Purple;£20,00;£10,23;25;£500,00;£255,75; £244,25 ;49%
128;15/01/2020;2020Q1;202001;187;MH08-XS-Red;£27,00;£15,05;40;£1080,00;£602,00; £478,00 ;44%
129;15/01/2020;2020Q1;202001;480;MH09-S-Pink;£30,00;£9,79;26;£780,00;£254,54; £525,46 ;67%
130;15/01/2020;2020Q1;202001;103;MH09-L-Blue;£43,00;£23,65;46;£1978,00;£1087,90; £890,10 ;45%
131;15/01/2020;2020Q1;202001;739;MH09-L-Green;£41,00;£14,01;24;£984,00;£336,24; £647,76 ;66%
132;15/01/2020;2020Q1;202001;137;MH09-L-Red;£27,00;£20,00;33;£891,00;£660,00; £231,00 ;26%
133;15/01/2020;2020Q1;202001;744;MH09-M-Blue;£24,00;£14,17;3;£72,00;£42,51; £29,49 ;41%
134;16/01/2020;2020Q1;202001;729;MH09-M-Green;£31,00;£11,55;17;£527,00;£196,35; £330,65 ;63%
135;16/01/2020;2020Q1;202001;415;MH09-M-Red;£21,00;£10,10;29;£609,00;£292,90; £316,10 ;52%
136;16/01/2020;2020Q1;202001;730;MH09-S-Blue;£44,00;£25,68;25;£1100,00;£642,00; £458,00 ;42%
137;16/01/2020;2020Q1;202001;386;MH09-S-Green;£39,00;£21,84;50;£1950,00;£1092,00; £858,00 ;44%
138;16/01/2020;2020Q1;202001;593;MH09-S-Red;£26,00;£7,40;12;£312,00;£88,80; £223,20 ;72%
139;16/01/2020;2020Q1;202001;525;MH08-XS-Brown;£38,00;£13,34;20;£760,00;£266,80; £493,20 ;65%
140;16/01/2020;2020Q1;202001;747;MH09-XL-Blue;£38,00;£17,49;47;£1786,00;£822,03; £963,97 ;54%
141;17/01/2020;2020Q1;202001;148;MH09-XL-Green;£45,00;£22,32;18;£810,00;£401,76; £408,24 ;50%
142;17/01/2020;2020Q1;202001;261;MH09-XL-Red;£34,00;£12,80;18;£612,00;£230,40; £381,60 ;62%
143;17/01/2020;2020Q1;202001;482;MH09-XS-Blue;£39,00;£15,60;41;£1599,00;£639,60; £959,40 ;60%
144;17/01/2020;2020Q1;202001;318;MH09-XS-Green;£35,00;£14,26;5;£175,00;£71,30; £103,70 ;59%
145;18/01/2020;2020Q1;202001;330;MH09-XS-Red;£32,00;£19,20;27;£864,00;£518,40; £345,60 ;40%
146;18/01/2020;2020Q1;202001;693;MH10-S-Pink;£36,00;£23,04;36;£1296,00;£829,44; £466,56 ;36%
147;19/01/2020;2020Q1;202001;729;MH10-L-Black;£33,00;£11,24;41;£1353,00;£460,84; £892,16 ;66%
148;19/01/2020;2020Q1;202001;339;MH10-L-Blue;£29,00;£11,07;40;£1160,00;£442,80; £717,20 ;62%
149;19/01/2020;2020Q1;202001;462;MH03-M-Black;£25,00;£16,16;34;£850,00;£549,44; £300,56 ;35%
150;19/01/2020;2020Q1;202001;321;MH10-L-Red;£28,00;£13,83;36;£1008,00;£497,88; £510,12 ;51%
151;19/01/2020;2020Q1;202001;39;MH10-M-Black;£27,00;£11,96;40;£1080,00;£478,40; £601,60 ;56%
152;19/01/2020;2020Q1;202001;724;MH10-M-Blue;£26,00;£10,61;19;£494,00;£201,59; £292,41 ;59%
153;19/01/2020;2020Q1;202001;536;MH10-M-Red;£26,00;£18,22;33;£858,00;£601,26; £256,74 ;30%
154;19/01/2020;2020Q1;202001;706;MH06-S-Red;£34,00;£14,92;16;£544,00;£238,72; £305,28 ;56%
155;19/01/2020;2020Q1;202001;593;MH10-S-Black;£43,00;£19,99;4;£172,00;£79,96; £92,04 ;54%
156;19/01/2020;2020Q1;202001;30;MH03-XS-Green;£39,00;£12,26;36;£1404,00;£441,36; £962,64 ;69%
157;19/01/2020;2020Q1;202001;785;MH10-S-Blue;£24,00;£15,84;37;£888,00;£586,08; £301,92 ;34%
158;19/01/2020;2020Q1;202001;609;MH04-L-White;£33,00;£8,91;46;£1518,00;£409,86; £1108,14 ;73%
159;19/01/2020;2020Q1;202001;456;MH10-S-Red;£33,00;£22,83;33;£1089,00;£753,39; £335,61 ;31%
160;19/01/2020;2020Q1;202001;168;MH10-XL-Black;£40,00;£11,04;12;£480,00;£132,48; £347,52 ;72%
161;20/01/2020;2020Q1;202001;660;MH10-XL-Blue;£28,00;£10,37;25;£700,00;£259,25; £440,75 ;63%
162;20/01/2020;2020Q1;202001;183;MH10-XL-Red;£34,00;£13,47;9;£306,00;£121,23; £184,77 ;60%
163;20/01/2020;2020Q1;202001;518;MH10-XS-Black;£39,00;£13,32;6;£234,00;£79,92; £154,08 ;66%
164;20/01/2020;2020Q1;202001;4;MH10-XS-Blue;£30,00;£15,28;49;£1470,00;£748,72; £721,28 ;49%
165;20/01/2020;2020Q1;202001;536;MH10-XS-Red;£36,00;£18,22;39;£1404,00;£710,58; £693,42 ;49%
166;20/01/2020;2020Q1;202001;72;MH11-S-Pink;£33,00;£14,87;44;£1452,00;£654,28; £797,72 ;55%
167;20/01/2020;2020Q1;202001;100;MH02-XL-Black;£26,00;£16,30;27;£702,00;£440,10; £261,90 ;37%
168;20/01/2020;2020Q1;202001;456;MH11-L-Orange;£30,00;£13,80;36;£1080,00;£496,80; £583,20 ;54%
169;20/01/2020;2020Q1;202001;319;MH11-L-Red;£30,00;£16,08;32;£960,00;£514,56; £445,44 ;46%
170;20/01/2020;2020Q1;202001;667;MH11-L-White;£41,00;£15,10;13;£533,00;£196,30; £336,70 ;63%
171;21/01/2020;2020Q1;202001;631;MH11-M-Orange;£28,00;£16,39;18;£504,00;£295,02; £208,98 ;41%
172;21/01/2020;2020Q1;202001;716;MH11-M-Red;£38,00;£16,58;42;£1596,00;£696,36; £899,64 ;56%
173;21/01/2020;2020Q1;202001;372;MH09-L-Red;£43,00;£20,00;18;£774,00;£360,00; £414,00 ;53%
174;22/01/2020;2020Q1;202001;240;MH11-M-White;£44,00;£13,28;30;£1320,00;£398,40; £921,60 ;70%
175;22/01/2020;2020Q1;202001;470;MH05-M-White;£29,00;£15,43;24;£696,00;£370,32; £325,68 ;47%
176;22/01/2020;2020Q1;202001;133;MH11-S-Orange;£43,00;£19,16;21;£903,00;£402,36; £500,64 ;55%
177;22/01/2020;2020Q1;202001;233;MH07-S-White;£21,00;£11,73;5;£105,00;£58,65; £46,35 ;44%
178;22/01/2020;2020Q1;202001;318;MH03-M-Black;£41,00;£16,16;23;£943,00;£371,68; £571,32 ;61%
179;23/01/2020;2020Q1;202001;18;MH11-S-Red;£44,00;£11,44;15;£660,00;£171,60; £488,40 ;74%
180;23/01/2020;2020Q1;202001;760;MH11-S-White;£44,00;£12,75;4;£176,00;£51,00; £125,00 ;71%
181;24/01/2020;2020Q1;202001;232;MH11-XL-Orange;£23,00;£10,81;49;£1127,00;£529,69; £597,31 ;53%
182;24/01/2020;2020Q1;202001;218;MH11-XL-Red;£33,00;£18,16;5;£165,00;£90,80; £74,20 ;45%
183;24/01/2020;2020Q1;202001;745;MH09-XL-Red;£38,00;£12,80;39;£1482,00;£499,20; £982,80 ;66%
184;24/01/2020;2020Q1;202001;622;MH11-XL-White;£22,00;£12,73;30;£660,00;£381,90; £278,10 ;42%
185;24/01/2020;2020Q1;202001;560;MH11-XS-Orange;£43,00;£16,34;31;£1333,00;£506,54; £826,46 ;62%
186;24/01/2020;2020Q1;202001;349;MH11-XS-Red;£35,00;£14,32;24;£840,00;£343,68; £496,32 ;59%
187;24/01/2020;2020Q1;202001;552;MH11-XS-White;£22,00;£15,69;15;£330,00;£235,35; £94,65 ;29%
188;24/01/2020;2020Q1;202001;336;MH12-S-Pink;£45,00;£13,50;11;£495,00;£148,50; £346,50 ;70%
189;24/01/2020;2020Q1;202001;125;MH12-L-Blue;£42,00;£14,70;10;£420,00;£147,00; £273,00 ;65%
190;25/01/2020;2020Q1;202001;716;MH10-XL-Red;£41,00;£13,47;50;£2050,00;£673,50; £1376,50 ;67%
191;25/01/2020;2020Q1;202001;448;MH12-L-Green;£30,00;£17,10;36;£1080,00;£615,60; £464,40 ;43%
192;25/01/2020;2020Q1;202001;288;MH12-L-Red;£23,00;£10,64;38;£874,00;£404,32; £469,68 ;54%
193;25/01/2020;2020Q1;202001;300;MH10-XS-Red;£28,00;£18,22;41;£1148,00;£747,02; £400,98 ;35%
194;25/01/2020;2020Q1;202001;165;MH12-M-Blue;£44,00;£20,17;4;£176,00;£80,68; £95,32 ;54%
195;26/01/2020;2020Q1;202001;754;MH12-M-Green;£34,00;£14,27;3;£102,00;£42,81; £59,19 ;58%
196;26/01/2020;2020Q1;202001;278;MH11-XS-White;£38,00;£15,69;1;£38,00;£15,69; £22,31 ;59%
197;26/01/2020;2020Q1;202001;556;MH12-M-Red;£41,00;£26,26;3;£123,00;£78,78; £44,22 ;36%
198;26/01/2020;2020Q1;202001;510;MH12-S-Blue;£41,00;£14,30;36;£1476,00;£514,80; £961,20 ;65%
199;26/01/2020;2020Q1;202001;749;MH12-S-Green;£45,00;£22,30;34;£1530,00;£758,20; £771,80 ;50%
200;26/01/2020;2020Q1;202001;126;MH12-S-Red;£43,00;£23,67;31;£1333,00;£733,77; £599,23 ;45%
201;27/01/2020;2020Q1;202001;526;MH12-XL-Blue;£23,00;£12,18;4;£92,00;£48,72; £43,28 ;47%
202;27/01/2020;2020Q1;202001;140;MH12-XL-Green;£45,00;£15,03;38;£1710,00;£571,14; £1138,86 ;67%
203;27/01/2020;2020Q1;202001;692;MH12-XL-Red;£33,00;£12,62;14;£462,00;£176,68; £285,32 ;62%
204;28/01/2020;2020Q1;202001;474;MH12-XS-Blue;£31,00;£14,43;42;£1302,00;£606,06; £695,94 ;53%
205;28/01/2020;2020Q1;202001;494;MH12-XS-Green;£43,00;£13,88;23;£989,00;£319,24; £669,76 ;68%
206;28/01/2020;2020Q1;202001;574;MH12-XS-Red;£22,00;£12,98;31;£682,00;£402,38; £279,62 ;41%
207;29/01/2020;2020Q1;202001;531;MH13-S-Pink;£25,00;£9,60;16;£400,00;£153,60; £246,40 ;62%
208;29/01/2020;2020Q1;202001;34;MH05-XS-Red;£38,00;£18,63;36;£1368,00;£670,68; £697,32 ;51%
209;29/01/2020;2020Q1;202001;460;MH12-M-Blue;£41,00;£20,17;6;£246,00;£121,02; £124,98 ;51%
210;29/01/2020;2020Q1;202001;251;MH13-L-Blue;£44,00;£19,54;40;£1760,00;£781,60; £978,40 ;56%
211;29/01/2020;2020Q1;202001;428;MH13-L-Green;£28,00;£11,57;42;£1176,00;£485,94; £690,06 ;59%
212;29/01/2020;2020Q1;202001;379;MH13-L-Lavender;£36,00;£10,76;41;£1476,00;£441,16; £1034,84 ;70%
213;29/01/2020;2020Q1;202001;760;MH13-M-Blue;£29,00;£14,58;46;£1334,00;£670,68; £663,32 ;50%
214;29/01/2020;2020Q1;202001;374;MH03-M-Green;£45,00;£17,55;30;£1350,00;£526,50; £823,50 ;61%
215;29/01/2020;2020Q1;202001;502;MH05-S-White;£44,00;£21,09;6;£264,00;£126,54; £137,46 ;52%
216;30/01/2020;2020Q1;202001;567;MH13-M-Green;£40,00;£22,97;37;£1480,00;£849,89; £630,11 ;43%
217;30/01/2020;2020Q1;202001;718;MH13-M-Lavender;£32,00;£13,23;17;£544,00;£224,91; £319,09 ;59%
218;30/01/2020;2020Q1;202001;644;MH13-S-Blue;£29,00;£16,10;41;£1189,00;£660,10; £528,90 ;44%
219;31/01/2020;2020Q1;202001;732;MH13-S-Green;£42,00;£14,13;44;£1848,00;£621,72; £1226,28 ;66%
220;31/01/2020;2020Q1;202001;704;MH13-S-Lavender;£20,00;£14,05;31;£620,00;£435,55; £184,45 ;30%
221;31/01/2020;2020Q1;202001;730;MH13-XL-Blue;£29,00;£13,05;38;£1102,00;£495,90; £606,10 ;55%
222;31/01/2020;2020Q1;202001;444;MH13-XL-Green;£36,00;£17,43;49;£1764,00;£854,07; £909,93 ;52%
